theme,stock,avg_up_prob,sentiment_corr,corr_norm,total_score,rank
로봇,두산,0.5067904,-0.1764,0.2657578935104276,0.41037741501639946,86
LNG,한국가스공사,0.47858128,-0.1423,0.30548759175113593,0.40934381037065093,87
게임,더블유게임즈,0.5020133,-0.1769,0.26517534661540254,0.4072781579027528,88
은행,신한지주,0.48829475,-0.1636,0.2806710940230689,0.405245293840917,89
게임,펄어비스,0.5011345,-0.1915,0.2481649772806711,0.39994671767885476,90
통신,SK텔레콤,0.4980023,-0.2134,0.22264942327857393,0.3878611616282478,91
은행,KB금융,0.484852,-0.2041,0.23348479552603985,0.38430511587276944,92
통신,KT,0.5026673,-0.2372,0.19492019107538158,0.3795684730633008,93
LNG,팬오션,0.47642866,-0.207,0.2301060235348946,0.37789961003651645,94
LNG,SK가스,0.473241,-0.214,0.22195036700454387,0.3727247535828234,95
리츠,SK리츠,0.51962584,-0.2866,0.13736455784690668,0.3667213286815178,96
SI,현대오토에버,0.5368668,-0.316,0.10311080041943378,0.363364390625232,97
통신,LG유플러스,0.49709335,-0.2763,0.14936502388442272,0.3580020193708925,98
MLCC,코스모신소재,0.5418783,-0.4045,0.0,0.325126975774765,99
SI,포스코DX,0.49600756,-0.4026,0.0022136782010952027,0.29849003213248887,100
