date,title,desc,theme,month,text
2025-06-23,[Q&AI] 카카오페이 주가 급등... 원인 및 단기 전망은 - 지디넷코리아,[Q&amp;AI] 카카오페이 주가 급등... 원인 및 단기 전망은&nbsp;&nbsp;지디넷코리아,스테이블코인,2025-06,[Q&AI] 카카오페이 주가 급등... 원인 및 단기 전망은 - 지디넷코리아 [Q&amp;AI] 카카오페이 주가 급등... 원인 및 단기 전망은&nbsp;&nbsp;지디넷코리아
2025-06-17,스테이블코인 공룡 ‘서클’ 비중 국내 최대로 확대한 ETF는? - 파이낸셜뉴스,스테이블코인 공룡 ‘서클’ 비중 국내 최대로 확대한 ETF는?&nbsp;&nbsp;파이낸셜뉴스,스테이블코인,2025-06,스테이블코인 공룡 ‘서클’ 비중 국내 최대로 확대한 ETF는? - 파이낸셜뉴스 스테이블코인 공룡 ‘서클’ 비중 국내 최대로 확대한 ETF는?&nbsp;&nbsp;파이낸셜뉴스
2025-06-24,스테이블 코인 관련 주식 서클 폭등... 상장 20일만에 748% 올라 - 뉴스프리존,스테이블 코인 관련 주식 서클 폭등... 상장 20일만에 748% 올라&nbsp;&nbsp;뉴스프리존,스테이블코인,2025-06,스테이블 코인 관련 주식 서클 폭등... 상장 20일만에 748% 올라 - 뉴스프리존 스테이블 코인 관련 주식 서클 폭등... 상장 20일만에 748% 올라&nbsp;&nbsp;뉴스프리존
2025-06-25,돈나무언니 돌연 서클(CRCL) 주식 대량 매각 - 글로벌이코노믹,돈나무언니 돌연 서클(CRCL) 주식 대량 매각&nbsp;&nbsp;글로벌이코노믹,스테이블코인,2025-06,돈나무언니 돌연 서클(CRCL) 주식 대량 매각 - 글로벌이코노믹 돈나무언니 돌연 서클(CRCL) 주식 대량 매각&nbsp;&nbsp;글로벌이코노믹
2025-06-18,"17% 급등한 네이버…""실적 탄탄해 더 뛸 것"" - 한국경제","17% 급등한 네이버…""실적 탄탄해 더 뛸 것""&nbsp;&nbsp;한국경제",스테이블코인,2025-06,"17% 급등한 네이버…""실적 탄탄해 더 뛸 것"" - 한국경제 17% 급등한 네이버…""실적 탄탄해 더 뛸 것""&nbsp;&nbsp;한국경제"
2025-06-29,"코인베이스, 타임지 '2025년 가장 영향력 있는 기업 100' 선정 - 디지털투데이","코인베이스, 타임지 '2025년 가장 영향력 있는 기업 100' 선정&nbsp;&nbsp;디지털투데이",스테이블코인,2025-06,"코인베이스, 타임지 '2025년 가장 영향력 있는 기업 100' 선정 - 디지털투데이 코인베이스, 타임지 '2025년 가장 영향력 있는 기업 100' 선정&nbsp;&nbsp;디지털투데이"
2025-06-24,"아크 인베스트, 서클 주식 대거 매도…코인베이스·로빈후드로 갈아타 - 디지털애셋","아크 인베스트, 서클 주식 대거 매도…코인베이스·로빈후드로 갈아타&nbsp;&nbsp;디지털애셋",스테이블코인,2025-06,"아크 인베스트, 서클 주식 대거 매도…코인베이스·로빈후드로 갈아타 - 디지털애셋 아크 인베스트, 서클 주식 대거 매도…코인베이스·로빈후드로 갈아타&nbsp;&nbsp;디지털애셋"
2025-06-25,원화 스테이블코인 열풍 뜨겁다...어떤 주식 사야 할까? - 핀포인트뉴스,원화 스테이블코인 열풍 뜨겁다...어떤 주식 사야 할까?&nbsp;&nbsp;핀포인트뉴스,스테이블코인,2025-06,원화 스테이블코인 열풍 뜨겁다...어떤 주식 사야 할까? - 핀포인트뉴스 원화 스테이블코인 열풍 뜨겁다...어떤 주식 사야 할까?&nbsp;&nbsp;핀포인트뉴스
2025-06-24,'금융비서'로 진화하는 카카오페이…스테이블코인엔 신중 - 네이트,'금융비서'로 진화하는 카카오페이…스테이블코인엔 신중&nbsp;&nbsp;네이트,스테이블코인,2025-06,'금융비서'로 진화하는 카카오페이…스테이블코인엔 신중 - 네이트 '금융비서'로 진화하는 카카오페이…스테이블코인엔 신중&nbsp;&nbsp;네이트
2025-06-18,카카오보다 네이버? 네이버 주가 17% 급등 이유와 전망 - 뉴닉,카카오보다 네이버? 네이버 주가 17% 급등 이유와 전망&nbsp;&nbsp;뉴닉,스테이블코인,2025-06,카카오보다 네이버? 네이버 주가 17% 급등 이유와 전망 - 뉴닉 카카오보다 네이버? 네이버 주가 17% 급등 이유와 전망&nbsp;&nbsp;뉴닉
